beta,rho_mean,rho_std
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.0,0.0
0.05,0.00042091836734693884,0.002295560232838726
0.06,0.13565204081632654,0.015497382623524692
0.07,0.23559887755102038,0.010696720265470827
0.08,0.3117591836734694,0.008987188692786533
0.09,0.37097204081632656,0.008302917024277465
0.1,0.41944265306122447,0.0068588155121034715
0.11,0.4593691836734694,0.0052039642603810875
0.12,0.4940821428571428,0.005472679365705327
0.13,0.523976530612245,0.004651502939033442
0.14,0.5493777551020408,0.004388066666679105
0.15,0.5722420408163265,0.00402034550867993
0.16,0.5915097959183674,0.003940469108241154
0.17,0.609796224489796,0.003875900952617633
0.18,0.6250334693877552,0.00398503606673071
0.19,0.6394136734693877,0.003875787305651657
0.2,0.6525144897959184,0.00341755981323681
0.21,0.6635234693877553,0.0029097702327097494
0.22,0.6745661224489797,0.0028948267347528502
0.23,0.6840089795918367,0.0026925508019177576
0.24,0.6927123469387756,0.0028900581048909683
0.25,0.7012080612244896,0.00251039649793474
0.26,0.7088777551020408,0.002621590020528602
0.27,0.7156921428571428,0.002429410357157752
0.28,0.7222538775510203,0.002100742753556018
0.29,0.7283991836734693,0.002126492557143136
0.3,0.7341097959183674,0.00226230179523968
