beta,rho_mean,rho_std
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.000863,0.005327489558882306
0.05,0.08983029999999999,0.006184631994710762
0.06,0.13933849999999998,0.005434729501088347
0.07,0.18679030000000002,0.004698584990185875
0.08,0.22914050000000002,0.004581442212884494
0.09,0.2686422,0.004352105141193165
0.1,0.3043139,0.004396695326037505
0.11,0.33549439999999997,0.004070831443329489
0.12,0.36452520000000005,0.0033985592476812967
0.13,0.3908608,0.00329577962855529
0.14,0.4141789,0.003436420781860102
0.15,0.4349655,0.0032886727946088022
0.16,0.4542358,0.0030370137240387923
0.17,0.471796,0.002564220739328027
0.18,0.48739960000000004,0.0029767518942632725
0.19,0.5021955,0.002706517827393726
0.2,0.5155559999999999,0.0024591518863217926
0.21,0.527303,0.002425378114851379
0.22,0.5392591,0.002336642075714645
0.23,0.5489566,0.002455423474678032
0.24,0.5586293999999999,0.0021482052136609212
0.25,0.5676248999999999,0.002339889097799287
0.26,0.576057,0.0018622188378383479
0.27,0.5837106,0.0021396783963951245
0.28,0.5911065,0.0019867961017678705
0.29,0.5977417999999999,0.0018307754531891646
0.3,0.603972,0.0019281856757065695
