beta,rho_mean,rho_std
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.0,0.0
0.05,0.0,0.0
0.06,0.0,0.0
0.07,0.0,0.0
0.08,0.0,0.0
0.09,0.0,0.0
0.1,0.0010211224489795917,0.0057625890753111525
0.11,0.09560653061224489,0.013408445258426865
0.12,0.1516485714285714,0.011373356170040379
0.13,0.19859663265306124,0.007847314878463157
0.14,0.23812785714285717,0.006709109948380525
0.15,0.2744008163265306,0.005158679515537217
0.16,0.3057255102040816,0.0050741331637629014
0.17,0.33372836734693884,0.005002442922579862
0.18,0.3589179591836736,0.005069592309126833
0.19,0.38189469387755104,0.0047859703338666215
0.2,0.40312061224489804,0.003833553658505997
0.21,0.421580306122449,0.003398338722138704
0.22,0.43976448979591837,0.003741695978608483
0.23,0.4544408163265306,0.003271986151828777
0.24,0.4694632653061223,0.00282423505103421
0.25,0.48325346938775504,0.002819005942223379
0.26,0.495678469387755,0.0030738259323098887
0.27,0.5073997959183673,0.0026085027325311724
0.28,0.5178031632653062,0.0027086243302057163
0.29,0.5284347959183674,0.0030421599876848263
0.3,0.5377606122448981,0.002386019960864597
