beta,rho_mean,rho_std
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.14947015075376885,0.016661821106311363
0.05,0.29051477386934677,0.009378490232895102
0.06,0.38360261306532656,0.007435591764497325
0.07,0.4548983919597989,0.005832721463495005
0.08,0.5080620100502513,0.005152133665878434
0.09,0.5487820100502512,0.004802638453785042
0.1,0.5839954773869347,0.003315392012471319
0.11,0.6108459296482412,0.003781090470396688
0.12,0.6351195979899499,0.0033856705512630516
0.13,0.6542867336683418,0.003139916429615619
0.14,0.671722713567839,0.0026491315029183752
0.15,0.6863413065326632,0.002841347668682759
0.16,0.6991686432160803,0.0023639477454479524
0.17,0.7107528643216081,0.002795882391935796
0.18,0.7207366834170855,0.002293677184432932
0.19,0.7298856281407035,0.0023387026580941614
0.2,0.7380168844221104,0.001828569062558213
0.21,0.7450971859296484,0.0018158610046204713
0.22,0.7513854271356784,0.0020677733737241863
0.23,0.7575763819095478,0.0018360768646966843
0.24,0.7628104522613066,0.001882960918248451
0.25,0.7677169849246233,0.0016280226522125802
0.26,0.7723665326633166,0.0016703846878576125
0.27,0.776600904522613,0.001761474652009797
0.28,0.7805724623115577,0.0014205466977121283
0.29,0.7837717587939698,0.001463619781250955
0.3,0.787237688442211,0.001445811956245633
