beta,rho_mean,rho_std
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0151296,0.021979613505246177
0.04,0.10856879999999998,0.007247620751667406
0.05,0.17364519999999994,0.006800665038067969
0.06,0.23489740000000003,0.0076298112191587
0.07,0.2923619,0.006563162758152506
0.08,0.3414390999999999,0.0062970488476745985
0.09,0.3854415,0.0055965552574775874
0.1,0.42336580000000007,0.005319241333122614
0.11,0.45757010000000004,0.004459690458989272
0.12,0.4864836,0.004324478817152419
0.13,0.5131216,0.004747961608943351
0.14,0.5369425,0.004142482679505129
0.15,0.5573992,0.003568040549096946
0.16,0.5762976000000001,0.004115575566066061
0.17,0.5935678,0.00423546540063781
0.18,0.6091504000000001,0.003727139632479579
0.19,0.6231588,0.0031238762075344877
0.2,0.6359403,0.0032495871907059224
0.21,0.6474069,0.0025655602487565854
0.22,0.6584998,0.0028235955730238813
0.23,0.6680272,0.002815769550229568
0.24,0.6771827000000001,0.002606936844267597
0.25,0.6862345000000001,0.002590497394324087
0.26,0.6941775,0.0022893598996225803
0.27,0.7016548,0.002483364040973451
0.28,0.7083358999999999,0.0024330697051256184
0.29,0.7147078,0.0020832031009961607
0.3,0.7207907,0.0025936739405715667
